date,c_IP,c_port,s_ip,s_port,trans_ID,time,trans,bitrate
20210516051245,192.168.1.18,42752,88.80.187.84,20180,3,0.0-10.3,8388608,6496138
20210516051456,192.168.1.18,42758,88.80.187.84,20180,3,0.0-10.3,8388608,6527075
20210516051706,192.168.1.18,42760,88.80.187.84,20180,3,0.0-10.2,8257536,6457775
20210516051916,192.168.1.18,42768,88.80.187.84,20180,3,0.0-10.2,8257536,6462520
20210516052127,192.168.1.18,42770,88.80.187.84,20180,3,0.0-10.2,8257536,6451506
20210516052337,192.168.1.18,42772,88.80.187.84,20180,3,0.0-10.2,8257536,6457564
20210516052547,192.168.1.18,42774,88.80.187.84,20180,3,0.0-10.1,8126464,6415919
20210516052757,192.168.1.18,42776,88.80.187.84,20180,3,0.0-10.0,7864320,6268930
20210516053008,192.168.1.18,42784,88.80.187.84,20180,3,0.0-10.3,8257536,6439975
20210516053218,192.168.1.18,42786,88.80.187.84,20180,3,0.0-10.0,8126464,6472444
20210516053428,192.168.1.18,42788,88.80.187.84,20180,3,0.0-10.3,8388608,6502861
20210516053639,192.168.1.18,42792,88.80.187.84,20180,3,0.0-10.3,8257536,6444204
20210516053849,192.168.1.18,42794,88.80.187.84,20180,3,0.0-10.2,8257536,6461908
20210516054059,192.168.1.18,42796,88.80.187.84,20180,3,0.0-10.3,8126464,6305450
20210516054310,192.168.1.18,42798,88.80.187.84,20180,3,0.0-10.2,8257536,6475081
20210516054520,192.168.1.18,42804,88.80.187.84,20180,3,0.0-10.1,8126464,6420715
20210516054730,192.168.1.18,42806,88.80.187.84,20180,3,0.0-10.2,8257536,6451429
20210516054940,192.168.1.18,42808,88.80.187.84,20180,3,0.0-10.1,8126464,6468310
20210516055151,192.168.1.18,42810,88.80.187.84,20180,3,0.0-10.3,8257536,6408101
20210516055401,192.168.1.18,42812,88.80.187.84,20180,3,0.0-10.1,8257536,6511098
20210516055611,192.168.1.18,42814,88.80.187.84,20180,3,0.0-10.1,8126464,6459045
20210516055821,192.168.1.18,42816,88.80.187.84,20180,3,0.0-10.2,8257536,6493998
20210516060032,192.168.1.18,42822,88.80.187.84,20180,3,0.0-10.1,8126464,6440227
20210516060242,192.168.1.18,42824,88.80.187.84,20180,3,0.0-10.0,8126464,6478582
20210516060452,192.168.1.18,42826,88.80.187.84,20180,3,0.0-10.3,8257536,6443618
20210516060702,192.168.1.18,42838,88.80.187.84,20180,3,0.0-10.2,7995392,6258175
20210516060913,192.168.1.18,42848,88.80.187.84,20180,3,0.0-10.3,8257536,6391213
20210516061123,192.168.1.18,42850,88.80.187.84,20180,3,0.0-10.0,8126464,6499725
20210516061333,192.168.1.18,42852,88.80.187.84,20180,3,0.0-10.1,8126464,6432833
20210516061543,192.168.1.18,42860,88.80.187.84,20180,3,0.0-10.2,8257536,6504387
20210516061754,192.168.1.18,42862,88.80.187.84,20180,3,0.0-10.2,8257536,6453253
20210516062004,192.168.1.18,42864,88.80.187.84,20180,3,0.0-10.0,8126464,6474589
20210516062214,192.168.1.18,42866,88.80.187.84,20180,3,0.0-10.1,8126464,6439468
20210516062424,192.168.1.18,42868,88.80.187.84,20180,3,0.0-10.3,8388608,6509690
20210516062635,192.168.1.18,42870,88.80.187.84,20180,3,0.0-10.1,8126464,6414761
